altitud,dir,fecha,horaHrMax,horaHrMin,horaPresMax,horaPresMin,horaracha,horatmax,horatmin,hrMax,hrMedia,hrMin,indicativo,nombre,prec,presMax,presMin,provincia,racha,tmax,tmed,tmin,velmedia
15.0,26.0,2023-05-02,16:40,18:40,24.0,18.0,17:10,18:00,05:00,85.0,61.0,28.0,C229J,PÁJARA,0.0,1014.5,1010.9,LAS PALMAS,10.0,30.1,24.2,18.2,1.1
15.0,36.0,2023-05-03,07:00,14:10,23.0,2.0,23:40,14:40,02:40,76.0,64.0,37.0,C229J,PÁJARA,0.0,1020.1,1013.4,LAS PALMAS,14.7,30.8,25.8,20.8,2.2
15.0,34.0,2023-05-04,00:00,13:00,22.0,4.0,02:30,,,74.0,56.0,45.0,C229J,PÁJARA,0.0,1021.9,1018.4,LAS PALMAS,15.0,,,,4.7
15.0,6.0,2023-05-05,Varias,12:50,0.0,18.0,22:50,11:50,05:50,67.0,59.0,53.0,C229J,PÁJARA,0.0,1021.6,1018.3,LAS PALMAS,13.9,25.0,22.4,19.8,3.3
15.0,3.0,2023-05-06,23:50,12:50,11.0,17.0,22:50,13:40,03:10,74.0,65.0,57.0,C229J,PÁJARA,0.0,1020.6,1017.4,LAS PALMAS,18.6,25.2,22.6,20.1,2.2
15.0,3.0,2023-05-07,00:10,09:50,Varias,16.0,21:30,12:30,05:00,75.0,65.0,55.0,C229J,PÁJARA,0.0,1019.1,1015.8,LAS PALMAS,21.4,24.4,22.4,20.4,6.1
15.0,3.0,2023-05-08,06:30,23:30,0.0,16.0,08:00,10:50,05:50,73.0,63.0,51.0,C229J,PÁJARA,,1019.1,1016.3,LAS PALMAS,18.1,29.0,24.4,19.7,6.4
15.0,2.0,2023-05-09,07:00,01:40,0.0,17.0,01:50,11:10,05:00,68.0,55.0,45.0,C229J,PÁJARA,0.0,1018.1,1014.0,LAS PALMAS,12.5,29.0,25.3,21.6,2.2
15.0,29.0,2023-05-10,04:20,22:30,0.0,19.0,13:20,15:40,05:30,69.0,59.0,45.0,C229J,PÁJARA,0.0,1016.1,1013.5,LAS PALMAS,8.6,28.6,25.2,21.8,2.2
15.0,33.0,2023-05-11,Varias,03:40,23.0,4.0,16:10,14:30,23:00,65.0,57.0,36.0,C229J,PÁJARA,0.0,1015.7,1012.5,LAS PALMAS,9.2,27.5,24.1,20.7,2.5
15.0,33.0,2023-05-12,02:40,Varias,22.0,Varias,15:20,14:00,07:00,67.0,60.0,54.0,C229J,PÁJARA,0.0,1016.4,1013.4,LAS PALMAS,11.4,25.6,22.4,19.2,3.6
15.0,34.0,2023-05-13,06:10,Varias,23.0,4.0,17:10,14:10,05:50,68.0,60.0,54.0,C229J,PÁJARA,0.0,1018.7,1014.9,LAS PALMAS,14.7,24.3,21.8,19.3,5.0
15.0,2.0,2023-05-14,01:10,15:40,22.0,2.0,07:40,15:20,06:00,65.0,56.0,50.0,C229J,PÁJARA,0.0,1021.4,1017.9,LAS PALMAS,11.1,25.3,22.0,18.8,4.4
15.0,36.0,2023-05-15,19:50,09:00,0.0,16.0,07:10,15:30,02:50,64.0,54.0,45.0,C229J,PÁJARA,0.0,1020.8,1016.6,LAS PALMAS,10.0,26.5,23.2,20.0,1.7
15.0,2.0,2023-05-16,11:20,09:30,0.0,7.0,11:30,15:30,05:50,70.0,59.0,55.0,C229J,PÁJARA,0.8,1018.1,1013.6,LAS PALMAS,11.9,24.4,21.8,19.1,3.1
15.0,33.0,2023-05-23,03:50,Varias,Varias,16.0,14:20,15:50,04:20,63.0,48.0,38.0,C229J,PÁJARA,0.0,1017.3,1015.1,LAS PALMAS,13.9,24.3,21.8,19.2,4.7
15.0,32.0,2023-05-24,06:20,13:00,Varias,16.0,15:10,13:10,06:00,64.0,55.0,47.0,C229J,PÁJARA,0.0,1017.4,1014.9,LAS PALMAS,11.1,25.0,22.2,19.3,4.4
15.0,33.0,2023-05-25,16:20,09:50,23.0,6.0,07:20,10:00,06:00,68.0,65.0,49.0,C229J,PÁJARA,0.0,1017.8,1015.3,LAS PALMAS,9.2,23.8,21.6,19.3,2.2
15.0,32.0,2023-05-26,05:50,13:00,23.0,Varias,Varias,13:00,05:30,69.0,56.0,47.0,C229J,PÁJARA,0.0,1018.6,1015.9,LAS PALMAS,9.2,25.2,21.8,18.4,2.8
15.0,26.0,2023-05-27,Varias,23:10,11.0,5.0,18:20,14:20,05:40,70.0,67.0,60.0,C229J,PÁJARA,0.0,1019.0,1016.7,LAS PALMAS,6.1,23.4,21.2,19.0,2.5
15.0,28.0,2023-05-28,05:30,18:10,11.0,18.0,17:50,15:30,06:00,71.0,60.0,55.0,C229J,PÁJARA,0.0,1019.5,1016.6,LAS PALMAS,7.5,25.5,22.0,18.5,1.9
